epoch,loss,lr,val_loss
0,0.0004252602520864457,1e-04,0.00037295621586963534
1,0.0003614627930801362,1e-04,0.0003338140668347478
2,0.0003302683762740344,1e-04,0.00028297671815380454
3,0.00029287912184372544,1e-04,0.0002521245332900435
4,0.0002476429217495024,1e-04,0.00020148910698480904
5,0.00021052978991065174,1e-04,0.00016859063180163503
6,0.0001732926320983097,1e-04,0.0001468296250095591
7,0.00015072416863404214,1e-04,0.000119150266982615
8,0.00012552393309306353,1e-04,0.00012800985132344067
9,0.00011042152618756518,1e-04,8.595607505412772e-05
10,9.616789611754939e-05,1e-04,8.904541027732193e-05
11,9.362499986309558e-05,1e-04,8.844294643495232e-05
